age,jobtype,maritalstatus,educationlevel,indefault,hasmortgage,haspersonalloan,numcampaigncalls,priorcampaignoutcome,conversion
30,blue-collar,married,basic,no,yes,no,2,nonexistent,no
39,services,single,primary,no,no,no,4,nonexistent,no
41,entrepreneur,married,college,unknown,yes,no,2,nonexistent,no
31,services,divorced,secondary,no,no,no,1,failure,no
35,blue-collar,married,basic,unknown,no,no,1,nonexistent,no
25,services,single,basic,unknown,yes,no,1,nonexistent,no
36,self-employed,single,basic,no,no,no,1,nonexistent,no
36,admin.,married,primary,no,no,no,2,nonexistent,no
29,admin.,single,primary,no,no,no,2,nonexistent,no
45,entrepreneur,married,college,unknown,yes,yes,2,nonexistent,no
44,technician,married,secondary,unknown,yes,no,7,nonexistent,no
36,technician,divorced,secondary,no,no,no,1,nonexistent,no
28,blue-collar,married,basic,unknown,no,no,2,failure,no
34,admin.,married,college,no,no,no,1,nonexistent,no
30,blue-collar,single,basic,unknown,yes,no,1,nonexistent,no
48,technician,married,college,no,no,no,7,nonexistent,no
36,blue-collar,married,basic,no,yes,no,1,nonexistent,no
46,management,divorced,primary,no,no,no,1,nonexistent,no
31,technician,single,unknown,no,yes,no,1,failure,no
32,housemaid,married,basic,no,yes,yes,1,nonexistent,no
32,admin.,married,college,no,no,no,1,nonexistent,no
29,admin.,single,basic,no,no,no,2,nonexistent,no
37,blue-collar,married,basic,no,yes,no,2,nonexistent,no
42,blue-collar,divorced,basic,no,yes,no,2,nonexistent,no
49,technician,divorced,unknown,no,yes,yes,1,nonexistent,no
29,services,divorced,primary,no,no,yes,3,nonexistent,no
37,self-employed,married,college,no,no,no,1,failure,no
39,technician,single,secondary,unknown,no,no,4,nonexistent,yes
51,services,married,primary,unknown,yes,no,3,nonexistent,yes
31,technician,single,primary,no,yes,yes,1,nonexistent,yes
31,admin.,single,college,no,yes,no,2,nonexistent,no
33,unemployed,married,basic,no,no,no,6,nonexistent,no
41,admin.,divorced,primary,no,yes,no,2,nonexistent,no
57,retired,married,college,no,yes,no,1,success,no
36,blue-collar,married,basic,no,yes,no,1,nonexistent,no
44,blue-collar,married,primary,unknown,no,no,2,nonexistent,no
31,technician,married,secondary,no,yes,no,6,nonexistent,no
33,services,single,basic,no,yes,no,2,nonexistent,no
45,services,married,primary,unknown,yes,no,1,nonexistent,no
31,blue-collar,married,basic,no,yes,no,2,nonexistent,no
56,management,married,college,no,yes,yes,1,failure,no
39,admin.,married,college,no,no,no,2,nonexistent,no
41,management,divorced,basic,no,yes,no,1,nonexistent,no
55,blue-collar,married,secondary,no,yes,yes,3,failure,no
54,entrepreneur,married,basic,unknown,no,yes,1,nonexistent,no
45,technician,divorced,basic,unknown,no,no,2,nonexistent,no
32,blue-collar,married,basic,no,yes,no,1,failure,no
50,admin.,married,basic,unknown,yes,no,3,nonexistent,no
29,management,married,college,no,no,yes,2,nonexistent,no
24,services,single,secondary,no,yes,no,1,nonexistent,no
34,admin.,married,college,no,no,yes,2,nonexistent,no
53,blue-collar,divorced,basic,no,no,no,1,nonexistent,yes
32,technician,divorced,secondary,no,yes,no,1,nonexistent,no
42,admin.,married,primary,no,yes,no,6,nonexistent,no
33,services,single,primary,no,yes,no,1,nonexistent,no
53,unknown,married,basic,no,no,yes,1,failure,no
82,housemaid,married,basic,no,no,no,3,success,yes
28,blue-collar,married,basic,no,yes,no,1,nonexistent,no
30,admin.,married,primary,unknown,yes,no,3,nonexistent,no
32,technician,single,college,no,yes,no,1,nonexistent,no
50,services,married,unknown,no,yes,no,2,nonexistent,no
47,technician,single,unknown,no,no,no,2,nonexistent,no
31,admin.,single,primary,no,yes,yes,1,nonexistent,no
32,unemployed,married,primary,no,yes,no,1,nonexistent,no
46,admin.,single,primary,no,yes,no,2,failure,no
47,admin.,single,primary,no,no,no,2,nonexistent,no
32,admin.,single,primary,no,no,no,2,failure,no
45,admin.,married,primary,no,yes,no,3,success,yes
46,blue-collar,married,secondary,no,no,no,1,nonexistent,no
57,services,married,secondary,unknown,no,no,2,nonexistent,no
44,technician,married,secondary,no,no,no,3,nonexistent,no
40,blue-collar,married,basic,no,yes,yes,2,nonexistent,no
57,retired,single,secondary,no,yes,no,1,nonexistent,no
34,management,married,college,no,yes,yes,1,nonexistent,no
51,technician,married,unknown,no,yes,no,3,nonexistent,no
41,management,married,college,no,yes,no,1,nonexistent,no
50,blue-collar,married,basic,no,yes,no,3,success,yes
42,housemaid,married,basic,unknown,yes,no,8,nonexistent,no
58,blue-collar,married,basic,no,no,no,1,failure,no
21,student,single,primary,no,no,no,1,failure,no
46,admin.,divorced,basic,unknown,no,no,1,nonexistent,no
42,self-employed,married,college,no,yes,no,3,nonexistent,no
29,admin.,single,primary,no,yes,no,1,success,no
30,blue-collar,single,basic,unknown,yes,no,1,nonexistent,no
53,management,married,basic,no,yes,no,1,nonexistent,no
46,services,married,secondary,no,yes,no,4,nonexistent,no
41,blue-collar,divorced,basic,no,yes,no,1,failure,no
28,admin.,married,college,no,no,no,3,failure,no
24,services,single,college,no,no,no,6,nonexistent,no
43,management,married,college,unknown,yes,yes,1,nonexistent,no
32,entrepreneur,single,college,no,no,yes,1,nonexistent,no
59,retired,married,basic,no,no,no,4,nonexistent,no
76,retired,single,basic,no,no,no,4,success,yes
30,blue-collar,married,unknown,no,no,no,2,nonexistent,no
33,admin.,single,college,no,yes,no,4,nonexistent,yes
59,retired,married,basic,no,yes,no,1,nonexistent,no
41,services,married,primary,no,no,no,6,nonexistent,yes
35,technician,married,secondary,no,no,no,4,nonexistent,no
42,admin.,married,basic,no,no,no,3,failure,no
44,admin.,married,primary,no,no,no,3,nonexistent,no
50,admin.,divorced,college,no,yes,no,2,nonexistent,no
36,admin.,married,college,no,yes,no,1,nonexistent,no
27,technician,married,secondary,no,no,no,9,nonexistent,no
40,management,married,unknown,no,no,no,3,nonexistent,no
29,management,married,college,no,yes,yes,2,nonexistent,no
44,admin.,married,primary,no,no,no,3,nonexistent,no
57,blue-collar,married,unknown,unknown,yes,no,2,nonexistent,no
30,admin.,single,primary,no,yes,no,1,nonexistent,no
58,blue-collar,married,basic,no,yes,no,1,nonexistent,yes
42,blue-collar,married,basic,no,no,no,1,nonexistent,no
46,blue-collar,married,basic,unknown,yes,yes,1,nonexistent,no
34,services,married,primary,unknown,yes,no,1,nonexistent,no
42,blue-collar,married,basic,unknown,no,no,1,nonexistent,no
27,student,single,basic,no,yes,no,1,nonexistent,no
59,management,married,basic,unknown,yes,yes,1,nonexistent,no
52,technician,married,primary,no,yes,no,2,nonexistent,no
24,blue-collar,married,basic,no,yes,yes,6,nonexistent,no
59,technician,married,secondary,no,no,no,4,failure,yes
28,blue-collar,married,basic,unknown,no,no,1,nonexistent,no
46,admin.,married,secondary,no,no,no,1,failure,no
40,management,married,college,no,yes,no,6,nonexistent,no
56,blue-collar,married,basic,unknown,yes,no,2,nonexistent,no
40,management,married,college,no,yes,no,1,nonexistent,no
57,retired,married,basic,no,no,no,4,nonexistent,yes
54,blue-collar,divorced,unknown,unknown,yes,no,3,nonexistent,no
25,admin.,single,college,no,no,no,2,nonexistent,no
54,retired,divorced,basic,unknown,yes,no,1,nonexistent,no
29,admin.,single,college,no,yes,no,1,nonexistent,yes
28,blue-collar,single,primary,no,yes,no,2,nonexistent,no
38,blue-collar,married,basic,no,no,no,1,success,no
46,housemaid,divorced,basic,no,yes,no,8,nonexistent,no
38,services,married,primary,no,no,no,1,nonexistent,no
33,blue-collar,married,primary,no,yes,no,1,nonexistent,no
29,admin.,single,college,unknown,yes,no,10,nonexistent,no
60,technician,married,secondary,unknown,no,no,15,nonexistent,no
36,admin.,single,college,no,no,no,1,nonexistent,no
54,admin.,married,college,no,no,no,5,nonexistent,no
25,self-employed,single,college,no,no,no,3,nonexistent,no
54,management,married,college,no,yes,no,1,nonexistent,no
55,entrepreneur,divorced,college,unknown,no,no,1,failure,no
40,admin.,married,primary,no,no,no,3,nonexistent,no
42,blue-collar,married,basic,no,no,no,5,success,no
52,technician,married,basic,no,yes,no,1,nonexistent,no
49,admin.,married,college,no,yes,no,1,nonexistent,no
49,technician,married,secondary,no,yes,no,1,nonexistent,no
52,unknown,married,basic,no,no,no,4,nonexistent,no
32,entrepreneur,married,college,no,no,no,4,nonexistent,no
27,services,married,primary,no,no,no,3,nonexistent,no
32,admin.,single,college,no,yes,no,1,nonexistent,no
49,unemployed,married,primary,no,yes,no,1,nonexistent,no
48,services,single,basic,unknown,yes,yes,2,nonexistent,no
48,technician,married,secondary,no,yes,no,8,nonexistent,yes
28,admin.,married,primary,no,yes,no,3,nonexistent,no
52,management,married,college,unknown,yes,yes,1,nonexistent,no
43,admin.,divorced,college,unknown,no,no,2,nonexistent,no
